"from","to","date"
"Stade","Antwerp","1590-12-01"
"Antwerp","Middelburg","1591-01-01"
"Middelburg","London","1591-07-01"
"London","Newbury","1591-08-01"
"Newbury","London","1592-10-01"
"London","Leiden","1593-01-01"
"Leiden","Middelburg","1593-05-01"
"Middelburg","Leiden","1593-06-01"
"Leiden","Emden","1593-11-01"
"Emden","Bremen","1593-11-01"
"Bremen","Middelburg","1594-02-01"
"Middelburg","Amsterdam","1594-06-01"
"Amsterdam","Copenhagen","1594-08-01"
"Copenhagen","Stockholm","1594-09-01"
"Stockholm","Middelburg","1597-10-01"
"Middelburg","Bremen","1598-07-01"
"Bremen","Haarlem","1598-08-01"